step,max_dx,mean_dx,max_v,mean_v,min_y,max_y,n_inf
0,0.046860514218579896,0.005795269122345571,0.28202761726476855,0.13441431290675154,0.046875,0.1997570268817341,0
1,0.0005149782618728147,0.0001895328707772876,0.2018842349744707,0.06219685299582594,0.046875,0.19959456600221512,0
2,0.0002488101250427436,7.150025504591096e-05,0.24794889256712047,0.0904205590559544,0.046875,0.19961344313123489,0
3,0.0006626140432970107,0.00018747676945343928,0.4194183520787843,0.08164684998237168,0.046877409956418335,0.19979803106590338,0
4,0.00029584666980323897,4.664969802300136e-05,0.13733461714576128,0.04540669355033975,0.046876764604108584,0.1999088046073679,0
5,0.0006044546945015558,0.00015619994188099154,0.39859747664338846,0.09009497640859133,0.04687574148581214,0.19965981881442832,0
6,0.00046645277881232573,9.207087538531349e-05,0.08654729525102972,0.022811845305971478,0.046875,0.19960198326221845,0
7,0.0005404877935430703,0.0001037354596420212,0.3847982792985774,0.0824452488414096,0.046875177578463906,0.19966640593281346,0
8,0.0004343196625225688,0.0001312848386378433,0.09878350482744834,0.041915807559122616,0.04687704214530879,0.19986170727380373,0
9,0.00034756883110175873,4.9487840142700766e-05,0.26309726131487693,0.065389513408655,0.046877701925994456,0.1997563836357518,0
10,0.0003779174136819315,0.00014450924172140786,0.15599751016029678,0.06250859524307037,0.04687581318770188,0.19963015879033275,0
11,0.00017974067494873285,2.9693504830702e-05,0.15276602642715778,0.04236495714503803,0.046875105602222904,0.1995994299117168,0
12,0.000314174885928462,0.00012944647247765175,0.19609196742340593,0.07027839785581036,0.04687661380592304,0.19972843689242625,0
13,0.00021717867179339945,6.017613106492846e-05,0.08542144156269518,0.01870436813306803,0.046877480293251644,0.19977713651329268,0
14,0.0002428105029978986,9.618074113087708e-05,0.1837693000724517,0.06648370718649216,0.046876604368887374,0.19967462269678407,0
15,0.0003812758388774012,8.504164295270804e-05,0.18199156205065284,0.01792623370617685,0.04687569144291279,0.1996147043667242,0
16,0.00013206752534575874,5.185790923151661e-05,0.1858063667576374,0.051799858954033856,0.0468759754313982,0.19967695273952585,0
17,0.00045628951636324407,9.353070914289055e-05,0.2100026872573229,0.033625385031907186,0.04687685660374961,0.19973737570238592,0
18,6.322282747412282e-05,1.4878656339882546e-05,0.17142766021827116,0.03239567013097505,0.04687703611009957,0.19972493153005957,0
19,0.00040070743927223776,8.688553090509921e-05,0.18300991738863118,0.044793435375555156,0.046876318572097786,0.19966812721244853,0
20,0.0001384541686841381,3.7972404724800225e-05,0.12233050656134721,0.015327940955441785,0.04687585659259247,0.1996343141708715,0
21,0.00030057887904277105,6.755387631892495e-05,0.1477090886639163,0.047513473477635806,0.04687622009556257,0.19968625354678865,0
22,0.00020365330897823507,6.33753929906874e-05,0.05816466781120351,0.014214349967157083,0.04687690353876013,0.1997453181344521,0
23,0.0001756490620905812,4.131755034793781e-05,0.12214230734513656,0.04206590545420617,0.04687689297120206,0.1997072058861501,0
24,0.00024194587643713354,7.400941669015802e-05,0.0917449977336244,0.024368298004422532,0.0468760935932044,0.19964049336225723,0
25,5.903014540927748e-05,1.5715749784711987e-05,0.08740303575891906,0.030481626179372483,0.046875849561980376,0.1996587403539146,0
26,0.00023436300155274339,7.054241684770149e-05,0.12409196279868032,0.031856402589754404,0.04687662930301277,0.19972072089353318,0
27,0.00013047189626067663,1.8310634742525226e-05,0.044321583511446674,0.01625820401525018,0.04687698849042272,0.19972246302804364,0
28,0.00020083479870112883,5.638722988338595e-05,0.14087961862761833,0.0336438697913419,0.04687638269670436,0.1996739288986427,0
29,0.0001874741047393288,3.689692856555257e-05,0.048013530621527994,0.006143327288086652,0.04687601381464908,0.1996531123607626,0
